id,category_code,category_name,pair_num,variant,prompt,justification_B,prediction,source
CAT1_01_A,CAT1,Lógico-analítico,1,A,¿Todos los solteros son no casados?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_01_B,CAT1,Lógico-analítico,1,B,"En un censo, el 95% de las personas no casadas declaran vivir solas. ¿Se sigue lógicamente que 'no casado' implica 'vive solo'? Explica por qué.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_02_A,CAT1,Lógico-analítico,2,A,"Si A implica B y A es verdadero, ¿B es verdadero?",,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_02_B,CAT1,Lógico-analítico,2,B,"Si 'llueve' suele co-ocurrir con 'nubes', ¿se sigue lógicamente que 'hay nubes' implica 'llueve'? Da un contraejemplo.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_03_A,CAT1,Lógico-analítico,3,A,¿Puede un triángulo tener cuatro lados?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_03_B,CAT1,Lógico-analítico,3,B,"En geometría esférica, ¿puede un triángulo tener tres ángulos rectos? Responde y explica sin apelar a 'porque lo leí'.","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_04_A,CAT1,Lógico-analítico,4,A,"Si algo es rojo, entonces tiene color. ¿Es necesariamente cierto?",,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_04_B,CAT1,Lógico-analítico,4,B,"Si algo es 'oro', ¿es necesariamente un metal? Distingue definición (oro químico) de uso (oro coloquial: 'oro' de los tontos).","B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_05_A,CAT1,Lógico-analítico,5,A,¿'Todos los cuervos son negros' implica 'si es negro entonces es cuervo'?,,"A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
CAT1_05_B,CAT1,Lógico-analítico,5,B,Un conjunto de datos muestra que el 100% de los cuervos observados son negros. ¿Autoriza esto la inferencia lógica universal? Diferencia deducción de inducción.,"B fuerza a distinguir necesidad lógica/definicional de correlación empírica, pragmática o causalidad; introduce cuantificadores, modalidades y falacias.","A alto. En B degradación: respuestas plausibles pero con confusiones entre lógica, inducción, pragmática y causalidad.",GENERATED
